authorsTitle.o,correlation.o,fis.o,seFish.o,n.o,pValFish.o,pVal.o,testStatistic.o,correlation.r,fis.r,n.r,seFish.r,pValFish.r,pVal.r,testStatistic.r,seDifference.ro,source,abrev,cohenD.o,seCohenD.o,cohenD.r,seCohenD.r,significant.r,significantSameDirection.r,fisherZDiff,correlationDifference.ro,percentageChangeES.ro,cleanedpVal.r,cleanedpVal.o,seFishAprox.r,seFishAprox.o,cohensD.r,cohensD.o,bf10,bf01,bfplus0,bf0plus,bfRep0,bf0Rep,statisticallyEquiv.ro,normalisedpVal.r
"MD Henderson, Y de Liver, PM Gollwitzer-The effects of an implemental mind-set on attitude strength.",0.259958534,0.266063935,NA,45,0.042327628,<.05,"F(2, 43) = 3.36",0.15539539,0.156664646,69,0.123091491,0.101553455,0.19,"F (2, 67) = 1.70",0.197385508,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.109399289,-0.104563144,-0.411176692,0.19,NA,0.123091491,0.15430335,0.31,0.54,0.333216462,3.001052215,0.596856745,1.675443913,1.26484564,0.790610307,FALSE,0.451026812
"N Shnabel, A Nadler-A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.",0.268278965,0.275008387,0.105999788,92,0.004737479,<.05,"F(1, 90) = 6.98",-0.101637251,-0.101989412,139,0.085749293,0.882857022,0.235,"F(1, 137) = 1.43",0.136341103,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.376997798,-0.369916216,-1.370859278,0.235,NA,0.085749293,0.105999788,-0.2,0.56,0.213949944,4.673990479,0.050744315,19.70664108,0.030434051,32.85793266,TRUE,0.506097881
"NO Rule, N Ambady-The face of success: inferences from chief executive officers' appearance predict company profits.",0.3,0.309519604,0.158113883,43,0.025140019,<.05,r(41) = .30,0.27,0.276863823,43,0.158113883,0.039969462,0.086,r(41) = .27,0.223606798,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.032655782,-0.03,-0.105504728,0.086,0.01,0.158113883,0.158113883,0.56,0.63,0.837393405,1.194181843,1.601937692,0.624244005,3.351531894,0.298371023,FALSE,0.297632442
"P Fischer, S Schulz-Hardt, D Frey-Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.",0.503449638,0.553916296,NA,NA,NA,0.001,"X^2(1, N=52) = 13.18",0.217562252,0.22109581,NA,NA,NA,0.008,"X^2(1, N=150) = 7.10",NA,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.332820486,-0.285887386,-0.600849782,0.008,0.001,NA,NA,0.45,1.17,NA,NA,NA,NA,NA,NA,NA,0.089562407
"P Fischer, T Greitemeyer, D Frey-Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.",0.212014281,0.215279491,NA,84,0.026341185,0.02,"F(2, 82) = 4.05",0.118808574,0.11937237,139,NA,0.081944682,0.14,"F(2, 137) = 1.99",0.140351773,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.095907122,-0.093205707,-0.445500502,0.14,0.02,0.085749293,0.111111111,0.24,0.43,0.277142696,3.608249526,0.508103751,1.968101984,1.319265439,0.757997573,FALSE,0.383497004
"PA Goff, CM Steele, PG Davies-The space between us: Stereotype threat and distance in interracial contexts.",0.395559206,0.418373378,0.141421356,53,0.001546471,<.01,"F(1, 51) = 9.46",0.013045451,0.013046191,49,0.147441956,0.46474617,0.928,"F(1, 47)= .008",0.204301567,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.405327187,-0.382513755,-0.968816871,0.928,0.05,0.147441956,0.141421356,0.03,0.86,0.178819847,5.592220429,0.191245537,5.228880203,0.112550639,8.884889553,FALSE,1.299139203
"SL Murray, JL Derrick, S Leder, JG Holmes-Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.",0.317462994,0.328823223,0.110431526,85,0.001452475,<.01,t(83) = 3.05,-0.1351,-0.135931069,70,0.122169444,0.86706927,0.265,t(68) = -1.124,0.164683014,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.464754292,-0.452562994,-1.413386464,0.265,NA,0.122169444,0.110431526,-0.27,0.67,0.274436178,3.64383445,0.074526632,13.41802211,0.028455016,35.14318843,TRUE,0.540752774
"SM McCrea-Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",0.344312999,0.358977419,0.2,28,0.036335845,<.05,t(26) = 1.87,0.28970838,0.298247896,61,0.131306433,0.011561741,0.01175,t(59)=2.325,0.239251707,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.060729523,-0.054604619,-0.169173658,0.01175,NA,0.131306433,0.2,0.61,0.73,1.955264038,0.511439878,3.859963719,0.259069793,7.435962608,0.13448158,FALSE,0.108610826
"V Purdie-Vaughns, CM Steele, PG Davies, R Ditlmann, JR Crosby-Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.",0.378274916,0.398044964,0.11785113,75,0.000365708,0.001,"F(1, 73) = 12.19",-0.036935346,-0.036952156,1488,0.025949965,0.92277345,0.154,"F(1,1486)=2.03",0.120674312,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.434997119,-0.415210262,-1.092834125,0.154,0.001,0.025949965,0.11785113,-0.07,0.82,0.089454552,11.17886101,0.013839293,72.25802414,0.001153667,866.801581,TRUE,0.403270232
"AL Alter, DM Oppenheimer-Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",0.127392361,0.128088292,NA,NA,NA,0.05,"X^2(1, N=236) = 3.83",0.018376516,0.018378585,NA,NA,NA,0.53,"X^2(1, N = 1146) = .387",NA,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.109709707,-0.109015845,-0.856516278,0.53,0.05,NA,NA,0.04,0.26,NA,NA,NA,NA,NA,NA,NA,0.815416193
"B Dessalegn, B Landau-More than meets the eye: the role of language in binding and maintaining feature conjunctions.",0.381744212,0.402099817,0.174077656,36,0.010447189,<.05,"F(1, 34) = 5.8",-0.222920955,-0.226727713,47,0.150755672,0.933701786,0.132,t(45) = 1.534,0.230283093,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.628827529,-0.604665167,-1.563859279,0.132,NA,0.150755672,0.174077656,-0.46,0.83,0.546472574,1.829918,0.076627405,13.0501614,0.058447926,17.10924685,TRUE,0.371826842
"B Eitam, RR Hassin, Y Schul-Nonconscious goal pursuit in novel environments: The case of implicit learning.",0.222330235,0.226106189,0.10976426,86,0.019702836,prep = .92,t(84) = 2.09,0.104941786,0.105329585,158,0.080321933,0.094870994,0.189,t(156) = 1.318,0.136013991,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.120776603,-0.117388449,-0.534158769,0.189,NA,0.080321933,0.10976426,0.21,0.46,0.233610663,4.280626521,0.422314769,2.367902034,0.979818439,1.020597245,FALSE,0.449750992
"C Farris, TA Treat, RJ Viken, RM McFall-Perceptual mechanisms that characterize gender differences in decoding women's sexual intent",0.554427187,0.624750857,0.060084177,280,1.27E-25,<.001,"F(1, 278) = 123.38",0.091162691,0.091416498,144,0.084215192,0.138847749,0.28,"F(1, 142) = 1.19",0.103451954,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.533334359,-0.463264496,-0.853675274,0.28,0.01,0.084215192,0.060084177,0.18,1.33,0.187041089,5.346418821,0.321618022,3.109278493,3.32E-06,301597.437,FALSE,0.557598827
"C Janiszewski, D Uy-Precision of the anchor influences the amount of adjustment.",0.333441051,0.346694778,0.136082763,57,0.005422158,prep = .947,"F(1, 55) = 6.88",0.225764222,0.229721667,118,0.093250481,0.006879579,0.014,"F(1,116) = 6.28",0.164967181,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.116973111,-0.107676829,-0.337395076,0.014,NA,0.093250481,0.136082763,0.46,0.71,2.275291755,0.439504076,4.516937159,0.221388956,9.69914345,0.103101888,FALSE,0.118599433
"C McKinstry, R Dale, MJ Spivey-Action dynamics reveal parallel competition in decision making",0.701088742,0.869438514,0.353553391,11,0.006963447,<.05,"F(1, 9) = 8.7",0.750404422,0.973880109,11,0.353553391,0.002938655,0.01,"F(1, 9) = 11.6",0.5,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,0.104441595,0.04931568,0.120125338,0.01,0.001,0.353553391,0.353553391,2.27,1.97,8.3819182,0.119304433,16.63626031,0.060109663,26.52724917,0.037697086,FALSE,0.100167421
"DA Armor, C Massey, AM Sackett-Prescribed optimism: Is it right to be wrong about the future?",0.681152182,0.831260365,0.090166963,126,1.50E-20,prep > .99,t(124) =10.36,0.763508789,1.004574845,177,0.075809804,2.22E-40,1.00E-12,t(175) = 15.64,0.117801561,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,0.173314479,0.082356607,0.208496022,1.00E-12,0.007,0.075809804,0.090166963,2.36,1.86,6.81E+31,1.47E-32,1.36E+32,7.34E-33,3.18E+32,3.14E-33,FALSE,1.00E-06
"DR Addis, AT Wong, DL Schacter-Age-related changes in the episodic simulation of future events",0.570693584,0.648550827,0.185695338,32,0.000239213,prep = .99,"F(1,30) = 14.49",0.652730428,0.780041331,32,0.185695338,1.33E-05,0.0001,"F (1,30) = 22.27",0.262612866,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,0.131490504,0.082036844,0.202745102,1.00E-04,NA,0.185695338,0.185695338,1.72,1.39,553.2583636,0.001807474,1106.468624,0.000903776,2391.584798,0.000418133,FALSE,0.010000167
"E Nurmsoo, P Bloom-Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?",0.501799075,0.551707796,0.182574186,33,0.001256266,prep = .97,t(31) = 3.23,-0.450187899,-0.484935914,10,0.377964473,0.900257435,0.197,t(7) = -1.426,0.419750493,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-1.03664371,-0.951986974,-1.878972378,0.197,NA,0.377964473,0.182574186,-1.01,1.16,0.824597506,1.21271286,0.193176055,5.176625018,0.106293669,9.407898011,TRUE,0.459886967
"E Vul, H Pashler-Measuring the crowd within: Probabilistic representations within individuals.",0.28771881,0.296077402,0.076471911,174,5.40E-05,<.01,t(172) = 3.94,0.322727228,0.334688431,141,0.085125653,4.22E-05,0.001,t(139) = 4.02,0.114430459,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,0.038611028,0.035008418,0.130408563,0.001,0.001,0.085125653,0.076471911,0.68,0.6,197.7176267,0.005057718,395.414221,0.002528994,1454.526297,0.000687509,FALSE,0.031628049
"E Vul, M Nieuwenstein, N Kanwisher-Temporal selection is suppressed, delayed, and diffused during the attentional blink.",0.130782132,0.13153551,NA,662,0.000366875,<.00001,"F(18, 660) = 16.31",0.120519146,0.121107793,662,NA,0.000938743,1.00E-12,"F(18, 660) = 12.98",0.055089939,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.010427717,-0.010262986,-0.079276821,1.00E-12,NA,0.038954469,0.038954469,0.24,0.26,5.999053352,0.166692967,11.98656246,0.083426754,86.98335413,0.011496453,FALSE,1.00E-06
"EJ Masicampo, RF Baumeister-Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",0.21368683,0.217031412,0.095346259,113,0.011415685,prep = .92,"F(1, 111) = 5.311",-0.048918238,-0.048957314,160,0.079808688,0.730205094,0.539,"F(1, 158) = 0.379",0.124339599,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.265988727,-0.262605068,-1.22557709,0.539,0.05,0.079808688,0.095346259,-0.1,0.44,0.119263948,8.384763548,0.0645865,15.48311176,0.082376629,12.13936538,TRUE,0.824437818
"G Hajcak, D Foti-Errors Are Aversive: Defensive Motivation and the Error-Related Negativity",0.38,0.40005965,0.188982237,31,0.01713346,<.05,r = -.38,0.25,0.255412812,43,0.158113883,0.05311503,0.11,r = -.25,0.24640269,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.144646838,-0.13,-0.361563177,0.11,NA,0.158113883,0.188982237,0.52,0.82,0.672998111,1.485888271,1.269254535,0.787864035,2.168041543,0.461245774,FALSE,0.338065255
"G Tabibnia, AB Satpute, MD Lieberman-The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)",0.851679354,1.262235904,0.333333333,12,7.63E-05,prep = .99,t(11) = 5.39,0.828997685,1.184923144,24,NA,2.82E-08,< .0005,z = 5.43,0.398409536,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.07731276,-0.022681669,-0.061250642,0.001,0.01,0.21821789,0.333333333,2.96,3.25,32151.47523,3.11E-05,64302.89814,1.56E-05,196361.6134,5.09E-06,FALSE,0.031628049
"GA Alvarez, A Oliva-The representation of simple ensemble visual features outside the focus of attention",0.721890032,0.911580609,0.40824829,9,0.012777527,0.028,t(7) = 2.76,0.922934494,1.608475947,18,0.25819889,2.34E-10,0.0001,t(16)= -9.59,0.483045892,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,0.696895337,0.201044462,0.764491182,1.00E-04,0.028,0.25819889,0.40824829,4.79,2.09,232171.8904,4.31E-06,464343.7163,2.15E-06,313382.444,3.19E-06,FALSE,0.010000167
"GP Lau, AC Kay, SJ Spencer-Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.",0.384260399,0.40504856,0.174077656,36,0.009987242,prep = .93,"F(1, 34) = 5.89",-0.034279559,-0.034292996,70,0.122169444,0.610529848,0.79,"F(1, 68) = 0.08",0.212669705,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.439341555,-0.418539958,-1.084663912,0.79,NA,0.122169444,0.174077656,-0.07,0.83,0.155182186,6.444038611,0.121225864,8.249064755,0.082356252,12.14236895,TRUE,1.094762509
"J Winawer, AC Huk, L Boroditsky-A motion aftereffect from still photographs depicting motion",0.685347348,0.839128812,0.19245009,30,6.50E-06,0.00003,t(28) = -4.978,0.527307869,0.586408806,27,0.204124145,0.002034228,0.00471,t(25)=-3.103,0.280541804,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.252720007,-0.158039479,-0.301169502,0.00471,3.00E-05,0.204124145,0.19245009,1.24,1.88,10.57883883,0.094528333,21.08964311,0.047416639,32.20733597,0.031048827,FALSE,0.068683428
"JA Richeson, S Trawalter-The threat of appearing prejudiced and race-based attentional biases.",0.371775163,0.390481398,0.2,28,0.025444952,prep = .92,"F(1, 26) = 4.17",0.017674908,0.017676749,66,0.125988158,0.444209568,0.89,"F(1, 64) = .02",0.236374736,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.372804649,-0.354100255,-0.954730881,0.89,NA,0.125988158,0.2,0.04,0.8,0.155188051,6.443795088,0.172315757,5.803299803,0.178793507,5.593044278,TRUE,1.232731072
"JR Crosby, B Monin, D Richardson-Where do we look during potentially offensive behavior?",0.246947019,0.252158936,NA,71,0.018792327,<.005,"F(3, 69) = 5.15",0.179397898,0.181360495,43.458,0.157216381,0.124337738,0.254,"F(1.48, 41.458) = 1.401",0.19855194,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.070798442,-0.067549121,-0.280769115,0.254,0.01,0.157216381,0.121267813,0.36,0.51,0.361548128,2.765883496,0.629910914,1.587526075,1.477174361,0.676968154,FALSE,0.528205391
"JS Nairne, JN Pandeirada, SR Thompson-Adaptive memory: The comparative value of survival processing.",0.445652636,0.479262324,0.213200716,25,0.012290022,"""significant""","F(1, 23) = 5.7",0.423363806,0.451783336,39,0.166666667,0.003357067,0.007,"F(1, 37) = 8.08",0.270614714,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.027478988,-0.02228883,-0.057336008,0.007,NA,0.166666667,0.213200716,0.93,1,6.447291051,0.155103902,12.83762975,0.077895999,24.36978012,0.041034429,FALSE,0.083763922
"JT Larsen, AR McKibban-Is happiness having what you want, wanting what you have, or both?",0.20996855,0.213138446,0.093658581,117,0.01143211,prep = .92,pr = .21,0.500179963,0.549546124,236,0.065512178,2.46E-17,0.001,pr = 0.497,0.114296874,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,0.336407678,0.290211413,1.578352871,0.001,NA,0.065512178,0.093658581,1.16,0.43,2.619E+13,3.82E-14,5.23799E+13,1.91E-14,2.76338E+12,3.62E-13,FALSE,0.031628049
"KD Vohs, JW Schooler-The value of believing in free will: Encouraging a belief in determinism increases cheating.",0.498149178,0.546841418,0.19245009,30,0.002245294,<.01,t(28) = 3.04,0.102355162,0.10271487,58,0.134839972,0.223103461,0.44,t(56) = -.77,0.234986926,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.444126548,-0.395794016,-0.812166989,0.44,0.05,0.134839972,0.19245009,0.21,1.15,0.217922443,4.588788507,0.337291006,2.964798893,0.161342718,6.197986567,FALSE,0.725253222
"L Demany, W Trost, M Serman, C Semal-Auditory change detection: simple sounds are not memorized better than complex sounds",0.496363588,0.544469283,NA,11,0.06178119,0.005,"F(3, 9) = 8.5",0.505151268,0.556198279,14,NA,0.032540523,< .001,"F(3,12)= 13.06",0.464660189,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,0.011728996,0.00878768,0.021542071,0.001,0.005,0.301511345,0.353553391,1.17,1.14,1.545413862,0.647075857,2.958791295,0.337975849,3.875893705,0.258005011,FALSE,0.031628049
"LE Williams, JA Bargh-Keeping one's distance: The influence of spatial distance cues on affect and evaluation.",0.233776428,0.238180507,NA,83,0.016571314,prep = .95,"F(2, 81) = 4.97",0.044266281,0.044295228,124,NA,0.31304147,0.787,"F(2,122) = 0.24",0.144098795,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.193885279,-0.189510147,-0.814026644,0.787,0.05,0.090909091,0.111803399,0.09,0.48,0.126361057,7.913830591,0.173343916,5.76887856,0.30097096,3.322579692,FALSE,1.091089367
"M Tamir, C Mitchell, JJ Gross-Hedonic and instrumental motives in anger regulation.",0.593405778,0.682906656,NA,164,2.26E-18,<.001,"F(2, 162) = 192.89",0.609913782,0.708784059,176,NA,5.68E-21,< .0001,"F(2, 174) = 252.83",0.109505831,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,0.025877403,0.016508004,0.037893031,0.001,0.001,0.076028592,0.078811041,1.54,1.47,2.25867E+16,4.43E-17,4.51735E+16,2.21E-17,2.50802E+17,3.99E-18,FALSE,0.031628049
"N Epley, S Akalis, A Waytz, JT Cacioppo-Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",0.172960188,0.174716537,NA,110,0.035359168,0.01,"F(4, 108) = 3.67",0.061707156,0.061785658,152,NA,0.225367551,0.68,"F(4, 150) = .58",0.126717022,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.112930879,-0.111253032,-0.646366287,0.68,0.01,0.081923192,0.096673649,0.12,0.35,0.134610157,7.428859916,0.208231373,4.802350321,0.591758483,1.689878605,FALSE,0.96953211
"N Halevy, G Bornstein, L Sagiv-ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm",0.768651993,1.017024924,0.115470054,78,6.39E-19,0,"F(1, 76) = 109.74",0.652982567,0.780480767,38,0.169030851,1.94E-06,0.0001,"F(1, 36) = 26.76",0.204706526,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.236544158,-0.115669426,-0.232584425,1.00E-04,-2.22E-16,0.169030851,0.115470054,1.72,2.4,2690.875647,0.000371626,5381.710829,0.000185815,10003.59094,1.00E-04,FALSE,0.010000167
"N Janssen, FX Alario, A Caramazza-A word-order constraint on phonological activation",0.649955571,0.775221777,0.277350098,16,0.002594168,<.007,t(14) = 3.2,0.497082522,0.545423705,13,0.316227766,0.042283456,0.09,t(11) = 1.9,0.42062225,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.229798071,-0.152873049,-0.296428813,0.09,0.001,0.316227766,0.277350098,1.15,1.71,1.319948468,0.757605334,2.496809885,0.400511071,3.346233854,0.298843429,FALSE,0.304692654
"P Bressan, D Stranieri-The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0.188662549,0.190949993,0.071981575,196,0.003991806,0.008,"F(1, 194) = 7.16",-0.030172295,-0.030181456,261,0.062257281,0.686085911,0.628,"F(1,259) = 0.236",0.095169933,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.221131449,-0.218834844,-1.158059477,0.628,0.008,0.062257281,0.071981575,-0.06,0.38,0.087128079,11.47735621,0.054789025,18.25183069,0.051235806,19.51760061,TRUE,0.91483918
"P Bressan, D Stranieri-The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk",0.188662549,0.190949993,0.071981575,196,0.003991806,0.008,"F(1, 194) = 7.16",0.018283411,0.018285449,316,0.056523342,0.373157315,0.746,"F(1,314) = 0.105",0.091521775,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.172664544,-0.170379138,-0.904239595,0.746,0.008,0.056523342,0.071981575,0.04,0.38,0.074220907,13.47329272,0.093006351,10.75195391,0.113364858,8.821075714,TRUE,1.042590936
"S Forti, GW Humphreys-Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field",0.722536382,0.912931653,0.288675135,15,0.000782136,prep = .99,"F(1, 13) = 14.2",0.207514339,0.210572424,20,0.242535625,0.192639048,0.369,"F(1,18)=0.81",0.377036951,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.702359229,-0.515022043,-0.76934481,0.369,0.05,0.242535625,0.288675135,0.42,2.09,0.397002813,2.51887384,0.634141358,1.57693547,0.25200435,3.96818547,FALSE,0.652851156
"S Schnall, J Benton, S Harvey-With a clean conscience: Cleanliness reduces the severity of moral judgments.",0.400010244,0.423661125,0.158113883,43,0.00368696,prep = .97,"F(1, 41) = 7.81",0.002839798,0.002839806,126,0.090166963,0.487437403,0.97,"F(1, 124) = 0.001",0.182016706,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.42082132,-0.397170446,-0.993296988,0.97,0.001,0.090166963,0.158113883,0.01,0.87,0.111487645,8.969603729,0.114272463,8.751014666,0.040915666,24.44051598,TRUE,1.396713316
"SE Palmer, T Ghose-Extremal edge: a powerful cue to depth perception and figure-ground organization",0.859552403,1.291628325,0.40824829,9,0.000778538,<.001,t(7) = 4.45,0.120073568,0.120655672,9,0.40824829,0.383788855,0.76,t(7) = 0.32,0.577350269,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-1.170972653,-0.739478835,-0.906586384,0.76,0.001,0.40824829,0.40824829,0.24,3.36,0.42380641,2.359567896,0.516847973,1.934804917,0.163572835,6.11348456,FALSE,1.058823639
"SJ Heine, EE Buchtel, A Norenzayan-What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness",0.43,0.459896681,0.122169444,70,8.35E-05,X,r = -0.43,0.11,0.110446916,16,0.277350098,0.345233269,0.345233269,r=.-11,0.303065092,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.349449765,-0.32,-0.759844069,0.345233269,0.001,0.277350098,0.122169444,0.22,0.95,0.33282868,3.004548765,0.431941864,2.31512637,0.495562201,2.01791016,FALSE,0.628046983
"SK Moeller, MD Robinson, DL Zabelina-Personality dominance and preferential use of the vertical dimension of space",0.31,0.320545409,0.141421356,53,0.011707387,<.05,r = -.31,-0.034,-0.03401311,72,0.120385853,0.611233004,0.78,r = 0.034,0.185722249,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.35455852,-0.344,-1.106110116,0.78,0.001,0.120385853,0.141421356,-0.07,0.65,0.153106927,6.531383137,0.119382247,8.376454809,0.119112522,8.395422942,TRUE,1.082591063
"T Goschke, G Dreisbach-Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.",0.374787884,0.393981877,0.164398987,40,0.008276287,prep = .927,"F(1, 38) = 6.21",0.411336583,0.437218947,95,0.104257207,1.37E-05,0.000035,"F(1, 93)=18.94",0.194670471,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,0.04323707,0.036548699,0.109743803,3.50E-05,0.01,0.104257207,0.164398987,0.9,0.81,594.6334209,0.001681708,1189.242047,0.000840872,2861.871601,0.000349422,FALSE,0.005916114
"V Lobue, JS DeLoache-Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.",0.483442318,0.527466798,0.15249857,46,0.000271262,<.01,"F(1, 44) = 13.42",0.177837588,0.179748763,46,0.15249857,0.119260528,0.237,"F(1, 44) = 1.437",0.215665546,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.347718034,-0.30560473,-0.659222601,0.237,0.01,0.15249857,0.15249857,0.36,1.1,0.361969804,2.762661382,0.634499643,1.576045017,0.443713542,2.25370629,FALSE,0.50845292
"X Dai, K Wertenbroch, CM Brendl-The value heuristic in judgments of relative frequency.",0.28378815,0.291797238,NA,NA,NA,0.037,"X^2(1, N=56) = 4.51",-0.175454592,-0.177289012,NA,NA,NA,0.21,"X^2(1, N = 51) = 1.57",NA,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.46908625,-0.459242742,-1.607576048,0.21,0.037,NA,NA,-0.36,0.59,NA,NA,NA,NA,NA,NA,NA,0.476033818
"Z Estes, M Verges, LW Barsalou-Head up, foot down: Object words orient attention to the objects' typical location.",0.595271914,0.685792015,0.25,19,0.003042477,prep = .97,"F(1, 17) = 9.33",0.25414164,0.259835475,23,0.223606798,0.122613758,0.24,"F(1, 21) = 1.45",0.335410197,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.425956541,-0.341130274,-0.621116215,0.24,0.001,0.223606798,0.25,0.53,1.48,0.493064017,2.028134207,0.85703364,1.166815342,0.73448259,1.361502661,FALSE,0.511972688
"Jacowitz & Kahneman, 1995",0.42,0.45,0.1,103,0,0,r = .42,0.77,1.02,5609,0.013355909,0,<.001,t=90.49,0.100887959,"Klein et al. (2014)
 Many Labs 1",ML1,0.93,NA,2.42,NA,TRUE,TRUE,0.57,0.35,1.266666667,1.00E-10,-2.22E-16,0.013355909,0.1,2.41,0.93,-6.26116E+16,-1.60E-17,Inf,0,Inf,0,FALSE,1.00E-05
